GEOID20,avgPrem2022,nonRenewRate,nonPayRate,claimSeverity,claimFrequency,lossRatio
"63565",2032,1,1.8,20332,4,33
"64482",1911,1.2,3.4,13278,5,29
"64661",1727,2,4.2,19151,3,40
"68005",2388,0.9,1.2,11872,6,31
"68008",3079,1.2,1.5,20636,3,21
"68020",2017,1.5,3.7,21515,5,48
"68023",3275,1.2,1.4,22211,3,19
"68029",2978,0.6,2.6,54649,5,81
"68030",2507,0.6,1.3,2878,2,6
"68048",2675,1.1,1.5,14531,7,39
"68061",2398,1.2,2.1,11833,10,49
"68107",2221,1.4,2.6,13188,21,128
"68108",2334,1.4,2.8,14619,14,88
"68110",2396,2.2,3.8,16286,7,43
"68112",2667,1.1,2,16697,6,36
"68123",2592,1.1,0.8,15234,7,40
"68410",2228,1,1.4,10671,5,23
"68455",2405,0.4,1.6,17940,12,78
"68731",2435,1.3,1.8,7664,4,14
"68776",2239,1.5,2.1,17212,6,40
